recipeid,env_score,nutri_score,meal_score
38,18.194583478631106,18.96039248860435,30.0
42,29.026628850807732,51.30047011914934,40.0
47,66.6092192333177,27.401496456389,45.0
49,270.31932936493234,63.95082825665688,55.0
54,85.21875127547666,56.51150058708347,70.0
55,18.83790878446251,16.337738170187613,45.0
66,29.885040263574602,25.589074120067785,30.0
70,52.937058001349484,34.79343295519637,50.0
72,33.31458877191037,30.880081329379045,20.0
81,42.7365858993608,30.791195978638285,20.0
83,48.877742835683634,23.51199190885598,60.0
85,26.534985880927824,22.70945693466372,35.0
88,114.35017082302853,41.44987989345914,60.0
91,55.294570060619904,37.70177134867532,80.0
92,15.45524879262544,10.207889674110357,30.0
93,32.65255474592439,12.39259323088666,65.0
94,16.462142666787507,14.165668469063876,35.0
99,2.0397570850469093,1.8001175068119877,30.0
103,23.639967825274912,19.79321119284839,50.0
104,267.3055597029715,40.55319656394235,30.0
113,33.64597083239281,22.5652271365715,45.0
115,118.68251010262938,30.086395384933848,65.0
121,86.70108406068186,14.979964299972856,60.0
125,32.01602733833866,21.25212578518959,45.0
126,44.622737009678254,26.65108731070096,70.0
127,50.64429756106655,58.93993675983235,25.0
128,27.842778814683186,37.59110558786068,20.0
131,9.28439477010092,7.753775734802371,35.0
138,21.277667911480584,14.350122631728938,50.0
144,67.20467865265094,20.665571771581263,60.0
147,23.58076195426151,13.92876446280992,30.0
155,29.116174175030487,28.20929288213924,35.0
156,9.530447843229148,5.808465202217383,45.0
163,55.71365326846694,18.922519236168725,50.0
164,33.53545690390408,15.52050122465391,40.0
167,8.196413583129068,7.257748210599222,50.0
169,2.116236961929014,1.867612193460489,30.0
175,244.74745354593637,38.80919793972293,20.0
176,28.63755686427301,44.31718647449315,35.0
178,11.95540496989743,7.242910281501167,55.0
179,82.15279586160901,19.813998778502786,45.0
185,48.42262333910514,33.23716830888964,35.0
192,36.22110808342265,21.957884362446915,45.0
193,207.7721236044419,40.14778974837503,40.0
195,45.742969138002216,14.968812575157251,65.0
201,92.67336135791763,25.3142900889732,35.0
203,42.73539659449276,37.45799232737141,45.0
207,52.14195865272993,34.92999305722961,55.0
216,20.601227138101326,8.658589192694173,40.0
217,69.2738859964775,28.1035522044446,40.0
218,39.72454027092114,28.940270460100216,30.0
221,42.03005678924431,32.844608909463375,45.0
223,26.40855409542174,28.9938459682542,35.0
225,30.013349700095176,22.64811724915484,20.0
226,80.21044401431453,60.34164787612907,45.0
240,64.85005099817734,20.355455231109,70.0
243,7.926280106409338,11.974920493304074,45.0
246,53.38731418820681,19.382325726384767,35.0
250,87.20189357361775,26.698898246098683,60.0
265,24.3098797887503,21.41584252511725,55.0
274,154.78905829684444,20.37766885815232,55.0
275,13.924014887499744,13.304541970720525,45.0
276,59.60669640136291,26.79730167071891,60.0
278,83.07041597243305,48.17314867703653,60.0
282,92.77215481333144,26.36469037005457,70.0
284,6.1967937231558485,5.069748607568834,40.0
285,265.9312610500959,36.64811545357634,55.0
287,142.25425791293236,69.28523265114023,50.0
288,20.434079038736847,20.99726495602098,55.0
289,242.9713634801837,70.27720172771174,60.0
298,49.27802387685121,27.956876840684263,35.0
308,35.12502461670211,43.44334462527791,10.0
310,4.5790714925937,7.166666666666663,20.0
311,8.044576168976562,7.5846084941139695,45.0
312,19.420990761480475,13.123398880163526,45.0
319,77.68733428342235,39.80921021388851,55.0
330,198.17703184796895,63.34601327769784,65.0
332,24.410170559990192,18.713944973820645,35.0
334,14.560020677717144,17.303256583948265,20.0
336,19.230386951464524,23.24062533210352,35.0
337,23.557550403765212,20.53526083620485,60.0
339,44.233625975936164,26.76388193706516,55.0
340,7.944366075954906,6.159609085395353,60.0
341,10.025084566848042,7.658475424879041,50.0
344,32.94205877396155,26.66117910219428,45.0
347,14.025315389005277,12.010827919196007,55.0
350,9.455135737067316,11.855174505222909,35.0
357,30.670848772473924,14.078797260515334,60.0
360,17.417536918882433,10.43113399570846,65.0
362,77.84945842313596,18.65632577851205,45.0
363,82.12052904879292,22.92897081084216,50.0
365,106.2326414682315,34.05046449591414,30.0
369,107.41468821969814,35.70999945682905,40.0
371,37.261948696091395,21.99224448205706,30.0
372,71.27297909038032,48.54294590972702,30.0
375,23.47438984328508,16.96167226270812,70.0
377,15.577685576035783,11.899980068720618,40.0
379,20.2609151627124,14.462078590734958,50.0
382,41.405114064831345,34.531398599887595,50.0
391,68.2126350743284,29.65480048903176,60.0
392,32.6864451749928,20.913851360886813,35.0
396,290.362006125693,47.84120002875274,45.0
400,15.543950898859224,19.47672133731333,35.0
406,40.97047269542978,30.95229893751393,30.0
408,151.5282842673243,41.612046263365,60.0
412,11.858716716775959,11.92466289891307,20.0
423,106.81419235158475,50.61369010370491,70.0
428,55.68947494716696,29.50003855507773,30.0
447,55.9318978904127,40.34682831152615,50.0
448,16.418681408292933,9.22307041682617,20.0
450,76.12836083864487,62.60764842357254,75.0
454,56.234744688798955,28.74035499527778,70.0
456,80.57319120815642,42.19844837795152,75.0
457,42.110302075996,24.79962034150364,50.0
458,13.414920703212749,16.529130978105158,35.0
459,16.82072017736388,20.728381170258803,35.0
463,10.071129104709492,6.884929320482424,30.0
464,69.22493534833357,39.22962674232389,20.0
465,13.894201459993326,16.999357869048843,35.0
469,59.90011432572604,34.66527517120241,30.0
470,85.18105681500367,59.70164535301696,30.0
483,17.102920575491396,13.825357276639478,80.0
489,25.157021337937223,31.047549509858392,35.0
492,16.69759830220284,8.543722530517874,35.0
493,30.91947445130232,12.112795190074944,15.0
494,165.08935099895476,68.71131341115375,65.0
497,79.00811196810193,33.18583965409274,45.0
499,12.94303222367099,10.62792149332776,35.0
505,74.38528645848496,16.418612183486307,50.0
511,50.01207485496443,41.98999971036044,45.0
516,0.13355625186731623,0.2090277777777777,30.0
525,40.91625013709067,24.1253030927856,70.0
528,37.118158543451635,29.29298498965385,65.0
536,183.33418402948212,63.273738118545154,65.0
548,47.687137128646626,15.529950648271026,25.0
549,117.03731387898057,47.43624752861373,70.0
551,79.98514423694132,71.98016971941234,30.0
552,17.070246496954297,10.699249263982695,50.0
557,62.2095838121142,38.374871412322975,45.0
559,156.3135028595687,45.41027792876535,35.0
564,24.066050370309913,11.19150916858731,30.0
565,25.389148833772836,10.602270625413144,45.0
568,9.543438641182648,10.100279963830571,40.0
569,11.413968712357308,15.192491473536332,40.0
571,31.7019680376985,21.84375867937485,20.0
574,24.407729415366322,21.500124066657925,20.0
577,15.698346464471893,13.854036103542224,30.0
581,9.336050434143345,5.592898438199184,45.0
582,47.466519786851535,35.82877357129235,45.0
583,15.42392509948169,9.090419364853084,40.0
586,39.005851524075034,15.535019702923716,35.0
587,85.90581926665452,61.008163816038085,55.0
590,27.442637202445706,22.08490075520597,75.0
594,27.99982208366231,13.27062376219951,70.0
597,31.025135971131554,20.82377782590885,35.0
617,32.197256455185,24.904092427230363,20.0
618,13.777718956569224,12.153148916083929,55.0
619,28.439201514872252,25.88121295351686,45.0
621,84.72306110160591,18.07557852153753,50.0
623,85.20039469186037,44.19765908536385,85.0
629,38.46872183005669,28.04413627650262,60.0
630,79.9768600629759,63.25099233319685,70.0
632,41.097847286878604,26.404944037263768,55.0
634,16.258655031871992,13.704525966308983,30.0
642,35.552626605101956,27.06739085971476,35.0
645,219.26383330762172,49.75807213381988,55.0
651,101.91748861261645,44.6833656365642,55.0
652,25.85085346012087,15.2705936292846,55.0
653,55.246813177866386,57.10947794535169,30.0
655,362.0122087577657,21.40360581773409,50.0
665,50.30980485829683,22.82109654402397,50.0
672,24.23822401633825,25.57531943898029,45.0
675,185.89337285686608,49.73852129161123,50.0
676,15.095260225865761,10.049866874032404,30.0
677,150.52824058801082,65.13650022728918,60.0
681,32.955209768933585,19.080294002212533,65.0
682,18.801581029252482,15.230269445080522,35.0
686,103.53571056480038,34.66433603661486,65.0
688,10.169830797098651,10.817034152951337,25.0
690,5.441329501466666,3.924450986351375,40.0
692,23.209033922970516,19.190698344320843,35.0
693,17.115613971102075,13.48726948749578,50.0
712,26.26887929542362,14.51564907902431,50.0
719,43.44257335242142,23.4989398179234,90.0
742,23.24516377349772,12.63605995496205,35.0
749,163.53718294655167,28.727318177472835,70.0
753,62.157668464228394,42.09740161197504,60.0
759,14.246674839915524,11.648005507563123,50.0
765,383.4816538663416,36.04874283362639,30.0
772,9.248366045158999,6.910160919018052,40.0
773,168.3193179794669,55.49528822992944,70.0
776,45.62145070226515,28.66681191402939,30.0
777,24.670797646443184,16.112096179801785,60.0
778,11.80628650521627,5.11283391494209,55.0
780,79.39560747479246,16.852722662658174,55.0
789,113.52394715892112,43.51828727085004,70.0
808,1.4960109651988853,0.4104413793103447,30.0
820,13.248475079549799,15.255425719692978,20.0
822,20.46686839092657,29.195263062087086,35.0
824,29.41581272897359,22.06937794129842,30.0
825,42.209743935873874,9.03176758595126,35.0
828,24.416394351479816,24.234002999154367,30.0
842,72.29532889252634,34.89738575070985,45.0
845,9.804901984490444,9.059075435762644,45.0
852,88.79210354793173,41.01183464003608,40.0
868,56.95117002718297,32.40063220521141,80.0
885,92.191345940385,37.179612859591415,55.0
897,243.65319693736046,17.886706846049044,30.0
898,143.00999422786094,31.15795793799348,50.0
931,126.9728566844801,30.04904759139843,30.0
933,37.51638666991072,15.55167973039856,60.0
953,86.65928693367175,30.38497935445717,40.0
965,3.0618880014774694,2.453313810306137,35.0
966,112.15633047489946,32.55884757973484,45.0
970,26.874089918261728,14.377540852461994,40.0
975,33.57211595741835,22.30143246182203,30.0
989,21.000921702154592,15.460373809934875,30.0
993,129.11699648837242,32.11850787288009,30.0
1001,27.475500199548478,13.294764242518958,45.0
1024,42.39129663500853,34.24429061162685,60.0
1034,20.223722555699275,19.473873756992013,30.0
1035,46.45091463311515,42.6300408485904,25.0
1059,22.651187779257867,9.291074645407363,70.0
1061,36.36765864916893,21.49841784054475,55.0
1078,8.2259493422697,7.2785073406451986,50.0
1106,48.63117495609338,26.517467544171,60.0
1107,28.93858300896187,11.212186724646884,70.0
1117,51.48692403217079,35.68347528392898,35.0
1119,174.9829852742949,32.29615669651779,75.0
1128,108.96830441067253,29.088846878997813,35.0
1129,3.5803508166095424,5.994751569689912,50.0
1133,45.347393275380796,28.847122100205247,60.0
1148,12.325609566768897,10.072357808857817,40.0
1151,58.67135574574257,36.09931774029055,35.0
1155,31.690736095832392,19.16040710217387,65.0
1165,31.831439731501497,20.79196322847038,60.0
1166,64.52801752928762,54.30490213987407,50.0
1170,68.49162717902942,42.50538271796599,55.0
1171,1.4463331555527006,1.276411614441416,40.0
1201,64.6085088821535,40.134655020079926,50.0
1209,64.04778477684582,31.70657669260336,50.0
1217,93.01267517525696,31.454964361767097,45.0
1220,16.601978374909063,6.37838271010427,50.0
1224,17.893426639224447,8.809644714756374,50.0
1232,30.880413050702487,17.799262006534956,80.0
1236,101.65279288395215,23.7669831812987,55.0
1253,35.523438976216866,15.094506797806602,50.0
1259,65.08183087328767,33.11141881545304,55.0
1293,51.252750290233834,36.68964260510011,30.0
1330,65.9756114594649,47.751067344546456,45.0
1355,48.41515470131925,27.98354071610003,75.0
1356,293.07765521126896,43.98625916391953,85.0
1367,66.43732807869537,16.0508611292886,45.0
1401,31.50931039175515,22.39343987791138,60.0
1417,6.649858373743626,7.506238668969273,20.0
1420,20.290381295564217,17.20932532022365,35.0
1423,23.572050145110342,16.136443104603824,30.0
1430,16.00831938541321,20.296590215931133,35.0
1432,253.58381519254982,26.54875332518129,50.0
1437,50.53654300563215,33.66682756109158,30.0
1438,58.73490133228368,37.99097580890294,45.0
1442,229.59217798071768,62.57050829595835,30.0
1447,8.159612421525484,5.726245810124686,60.0
1465,54.10868433357484,23.60340657915423,35.0
1475,52.12993709658335,35.51214991554507,40.0
1481,14.609637176432711,8.919049196194754,50.0
1485,18.514926328500042,19.303071875008808,50.0
1505,5.498719282866711,2.263407752928433,50.0
1506,13.094183160514307,11.55582128746593,30.0
1521,28.969976678834296,28.57067773117126,40.0
1522,109.45467289161351,43.612463686433,75.0
1526,127.47421866737412,51.994135565322736,50.0
1528,66.17400106266459,33.734366425134894,45.0
1541,39.47264450242584,15.933382204369892,65.0
1542,108.90602065273345,33.6255203330152,65.0
1551,284.23481500367325,47.97316121028474,70.0
1553,254.81732619124628,26.192051801272044,65.0
1560,4.388946153268016,5.136944415017355,35.0
1563,8.028580808247597,7.085348041553128,30.0
1576,9.173647443057424,8.374739962938486,45.0
1578,62.27433698700396,11.55451285899174,20.0
1590,9.51592938164433,8.397956403269749,30.0
